adduser	3.118
amazon-ec2-utils	1.3+git20200518-2
apparmor	2.13.6-10
apt	2.2.4
apt-transport-https	2.2.4
base-files	11.1+deb11u2
base-passwd	3.5.51
bash	5.1-2+b3
bsdutils	1:2.36.1-8+deb11u1
ca-certificates	20210119
chrony	4.0-8+deb11u1
cloud-guest-utils	0.31-2
cloud-image-utils	0.31-2
cloud-init	20.4.1-2+deb11u1
cloud-initramfs-growroot	0.18.debian8
cloud-utils	0.31-2
coreutils	8.32-4
cpio	2.13+dfsg-4
cron	3.0pl1-137
curl	7.74.0-1.3+deb11u1
dash	0.5.11+git20200708+dd9ef66-5
datadog-agent	1:7.34.0-1
datadog-signing-keys	1:1.0.1-1
dbus	1.12.20-2
debconf	1.5.77
debian-archive-keyring	2021.1.1
debianutils	4.11.2
diffutils	1:3.7-5
dirmngr	2.2.27-2
distro-info-data	0.51+deb11u1
dmsetup	2:1.02.175-2.1
dpkg	1.20.9
e2fsprogs	1.46.2-2
ethtool	1:5.9-1
fdisk	2.36.1-8+deb11u1
file	1:5.39-3
findutils	4.8.0-1
gcc-10-base:arm64	10.2.1-6
gcc-9-base:arm64	9.3.0-22
gdisk	1.0.6-1.1
genisoimage	9:1.1.11-3.2
gettext-base	0.21-4
gnupg	2.2.27-2
gnupg-l10n	2.2.27-2
gnupg-utils	2.2.27-2
gpg	2.2.27-2
gpg-agent	2.2.27-2
gpg-wks-client	2.2.27-2
gpg-wks-server	2.2.27-2
gpgconf	2.2.27-2
gpgsm	2.2.27-2
gpgv	2.2.27-2
grep	3.6-1
grub-common	2.04-20
grub-efi-arm64	2.04-20
grub-efi-arm64-bin	2.04-20
grub2-common	2.04-20
gyp	0.1+20200513gitcaa6002-2
gzip	1.10-4
hostname	3.23
ifupdown	0.8.36
init	1.60
init-system-helpers	1.60
initramfs-tools	0.140
initramfs-tools-core	0.140
iproute2	5.10.0-4
iputils-ping	3:20210202-1
isc-dhcp-client	4.4.1-2.3
klibc-utils	2.0.8-6.1
kmod	28-1
less	551-2
libacl1:arm64	2.2.53-10
libaio1:arm64	0.3.112-9
libapparmor1:arm64	2.13.6-10
libapt-pkg6.0:arm64	2.2.4
libargon2-1:arm64	0~20171227-0.2
libassuan0:arm64	2.5.3-7.1
libattr1:arm64	1:2.4.48-6
libaudit-common	1:3.0-2
libaudit1:arm64	1:3.0-2
libblkid1:arm64	2.36.1-8+deb11u1
libbpf0:arm64	1:0.3-2
libbrotli1:arm64	1.0.9-2+b2
libbsd0:arm64	0.11.3-1
libbz2-1.0:arm64	1.0.8-4
libc-ares2:arm64	1.17.1-1+deb11u1
libc-bin	2.31-13+deb11u2
libc-l10n	2.31-13+deb11u2
libc6:arm64	2.31-13+deb11u2
libcap-ng0:arm64	0.7.9-2.2+b1
libcap2:arm64	1:2.44-1
libcap2-bin	1:2.44-1
libcbor0:arm64	0.5.0+dfsg-2
libcom-err2:arm64	1.46.2-2
libcrypt1:arm64	1:4.4.18-4
libcryptsetup12:arm64	2:2.3.7-1+deb11u1
libcurl4:arm64	7.74.0-1.3+deb11u1
libdb5.3:arm64	5.3.28+dfsg1-0.8
libdbus-1-3:arm64	1.12.20-2
libdebconfclient0:arm64	0.260
libdevmapper1.02.1:arm64	2:1.02.175-2.1
libdns-export1110	1:9.11.19+dfsg-2.1
libedit2:arm64	3.1-20191231-2+b1
libefiboot1:arm64	37-6
libefivar1:arm64	37-6
libelf1:arm64	0.183-1
libexpat1:arm64	2.2.10-2+deb11u3
libext2fs2:arm64	1.46.2-2
libfdisk1:arm64	2.36.1-8+deb11u1
libffi7:arm64	3.3-6
libfido2-1:arm64	1.6.0-2
libfreetype6:arm64	2.10.4+dfsg-1
